,budget,tconst,poster_path,production_countries,revenue,status,production_companies_name,production_companies_country,Unnamed: 0,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,nconst,category,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,genre,director_principal
55837,0,tt4844140,/eVyESHnWiTY1el8DEWbYMVW3K5k.jpg,"['AU', 'FR', 'GB']",0,Released,"['Screen Australia', 'Daybreak Pictures', 'Film Victoria', 'Porchlight Films', 'Romulus Films', 'Film4 Productions', 'La Cinéfacture']","['AU', '', 'AU', 'AU', '', 'GB', 'FR']",62580,movie,True History of the Kelly Gang,0,2019-01-01,124,"Action,Biography,Crime",6.0,12051,nm0997291,nm0137020,writer,unknown,Peter Carey,1943-01-01,,writer,"tt0101458,tt0088821,tt0090915,tt4844140",True History of the Kelly Gang,Action,Justin Kurzel
55847,45000000,tt5606664,/p69QzIBbN06aTYqRRiCOY1emNBh.jpg,['US'],72381712,Released,"['Vertigo Entertainment', 'Intrepid Pictures']","['US', 'US']",31208,movie,Doctor Sleep,0,2019-01-01,152,"Drama,Fantasy,Horror",7.3,199841,nm1093039,nm0000175,writer,unknown,Stephen King,1947-01-01,,"writer,producer,actor","tt0083767,tt0111161,tt0324864,tt0091499",Doctor Sleep,Drama,Mike Flanagan
55856,0,tt5952594,/sXQzQcjNAYYosymYPVaXh1nYKaJ.jpg,"['BE', 'FR', 'US']",1144575,Released,"['uMedia', 'Légende Films', 'France 3 Cinéma', 'Nexus Factory', 'uFund', 'Canal+', 'Ciné+', 'France Télévisions', 'Nevada State', 'Nevada State', 'Focus Features', 'CNC', 'Ad Vitam Production']","['BE', 'FR', 'FR', 'BE', 'BE', 'FR', 'FR', 'FR', '', '', 'US', 'FR', 'FR']",23959,movie,The Mustang,0,2019-01-01,96,Drama,6.8,13394,nm0166438,nm0001136,actor,"[""Myles""]",Bruce Dern,1936-01-01,,"actor,producer,soundtrack","tt0068421,tt0096734,tt1821549,tt3460252",Nevada,Drama,Laure de Clermont-Tonnerre
55866,15000000,tt5941692,/ae9yrSAS7nLZPbbkOm61pSuIqeo.jpg,"['MX', 'US']",15200000,Released,"['Misher Films', 'Canana', 'Columbia Pictures']","['US', 'MX', 'US']",73996,movie,Miss Bala,0,2019-01-01,104,"Action,Crime,Drama",5.8,11933,nm0362566,nm0362566,director,unknown,Catherine Hardwicke,1955-01-01,,"director,production_designer,producer","tt0328538,tt5941692,tt0355702,tt1099212",Miss Bala,Action,Catherine Hardwicke
55875,0,tt7939766,/5ynWWapdl45hJXUh0KIevxSG9JQ.jpg,['US'],0,Released,"['Likely Story', 'Projective Testing Service']","['US', '']",67297,movie,I'm Thinking of Ending Things,0,2020-01-01,134,"Drama,Thriller",6.6,91482,nm0442109,nm0000667,actor,"[""Father""]",David Thewlis,1963-01-01,,"actor,writer,soundtrack","tt1201607,tt2980516,tt0466909,tt0107653",Je veux juste en finir,Drama,Charlie Kaufman
55885,49000000,tt1860242,/4bRYg4l12yDuJvAfqvUOPnBrxno.jpg,['US'],0,Released,"['Casey Silver Productions', 'MRC', 'Perpetual Motion Pictures', 'Universal Pictures']","['', 'US', '', 'US']",49967,movie,The Highwaymen,0,2019-01-01,132,"Biography,Crime,Drama",6.9,95119,nm0359387,nm0002353,composer,unknown,Thomas Newman,1955-01-01,,"music_department,composer,soundtrack","tt1074638,tt0910970,tt1454029,tt8579674",The Highwaymen,Biography,John Lee Hancock
55894,5000000,tt6499752,/5f28TXtvHioXirX2n1XH8EJ314v.jpg,"['AU', 'US']",16706680,Released,"['Goalpost Pictures', 'Automatik Entertainment', 'Blumhouse Productions', 'Nervous Tick', 'Film Victoria']","['AU', 'US', 'US', 'US', 'AU']",83144,movie,Upgrade,0,2018-01-01,100,"Action,Sci-Fi,Thriller",7.5,191385,nm1191481,nm1191481,director,unknown,Leigh Whannell,1977-01-01,,"actor,writer,producer","tt0387564,tt6499752,tt1051906,tt2490326",Upgrade,Action,Leigh Whannell
55903,1769789,tt7825208,/9Wdrdooav23KNxOntYYFJ6ddXD7.jpg,['BR'],0,Released,"['O2 Filmes', 'Globo Filmes', 'Maria da Fé']","['BR', 'BR', '']",80924,movie,Marighella,0,2019-01-01,155,"Action,Drama,History",7.1,55500,nm0609944,nm0609944,director,unknown,Wagner Moura,1976-01-01,,"actor,director,producer","tt1555149,tt2707408,tt7825208,tt0861739",Marighella,Action,Wagner Moura
55913,688960,tt7959216,/bpa91Opnvl4XxUCycyNGvhwRWqC.jpg,['NO'],0,Released,['Paradox Produksjon'],['NO'],84483,movie,Utøya: July 22,0,2018-01-01,93,"Drama,Thriller",7.2,14959,nm0691547,nm1113380,writer,unknown,Anna Bache-Wiig,1975-01-01,,"actress,writer,producer","tt10846312,tt3582458,tt0453383,tt7959216",Utøya 22 juillet,Drama,Erik Poppe
55923,0,tt7395114,/bVL7LGq528h3KzeNI90HOVbV5uW.jpg,['US'],0,Released,"['Nine Stories Productions', 'BorderLine Films', 'Bronx Moving Co.']","['US', 'US', '']",75280,movie,The Devil All the Time,0,2020-01-01,138,"Crime,Drama,Thriller",7.1,140797,nm1290515,nm0350453,producer,unknown,Jake Gyllenhaal,1980-01-01,,"actor,producer,soundtrack","tt1392214,tt0246578,tt2872718,tt0388795","Le Diable, tout le temps",Crime,Antonio Campos
55933,49000000,tt7547410,/xvYCZ740XvngXK0FNeSNVTJJJ5v.jpg,"['AU', 'US']",120597108,Released,"['Nickelodeon Movies', 'Paramount Players', 'Walden Media', 'Screen Queensland', 'Paramount']","['US', 'US', 'US', 'AU', 'US']",79502,movie,Dora and the Lost City of Gold,0,2019-01-01,102,"Action,Adventure,Comedy",6.1,32060,nm0090386,nm0519456,actress,"[""Elena""]",Eva Longoria,1975-01-01,,"actress,producer,director","tt7547410,tt0443632,tt0410975,tt0433387",Dora l'exploratrice,Action,James Bobin
55943,0,tt6264938,/ctjT1pMNAGD9ou0kuhz806tf7kX.jpg,['IN'],0,Released,"['Dharma Productions', 'Azure Entertainment', 'Zee Studios', 'Cape Of Good Films']","['IN', 'IN', 'IN', '']",73222,movie,Kesari,0,2019-01-01,150,"Action,Drama,History",7.4,21278,nm5326250,nm0474774,actor,"[""Havildar Ishar Singh""]",Akshay Kumar,1967-01-01,,"actor,producer,soundtrack","tt4387040,tt0242519,tt5165344,tt3848892",Kesari,Action,Anurag Singh
55953,15600000,tt7322224,/k9eLozCgCed5FGTSdHu0bBElAV8.jpg,"['DK', 'FR', 'DE', 'GR', 'MX', 'SE', 'TR', 'GB', 'US']",24733572,Released,"['30WEST', 'ARTE', 'BBC Film', 'TRT', 'Turkish Radio & Television', 'Bord Cadre Films', 'Coproduction Office', 'Film i Väst', 'Heretic', 'Imperative Entertainment', 'Piano', 'Sovereign Films', 'Plattform Produktion', 'SVT', 'Svensk Filminspelning', 'Essential Films', 'ZDF', 'Svenska Filminstitutet', 'Eurimages', 'Medienboard Berlin-Brandenburg', 'The Danish Film Institute', 'Canal+', 'Ciné+', 'DR', 'Nordisk Film & TV Fond', 'BFI', 'MOIN Filmförderung Hamburg Schleswig-Holstein', 'SF Studios', 'Bac Films', 'Curzon Film World']","['US', 'FR', 'GB', 'TR', 'TR', 'CH', 'DK', 'SE', 'GR', 'US', 'MX', 'GB', 'SE', 'SE', '', '', 'DE', 'SE', 'FR', 'DE', '', 'FR', 'FR', 'DK', 'NO', 'GB', 'DE', 'SE', 'FR', '']",88091,movie,Triangle of Sadness,0,2022-01-01,147,"Comedy,Drama",7.4,121061,nm1128037,nm6170168,actor,"[""Carl""]",Harris Dickinson,1996-01-01,,"actor,director,writer","tt6303866,tt7156898,tt7322224,tt9411972",Sans filtre,Comedy,Ruben Östlund
55962,6000000,tt7137846,/nuCxJwcQOEKYoiHTgcf4em8TxWv.jpg,['US'],49078000,Released,"['Will Packer Productions', 'Breaking In Pictures']","['US', '']",74443,movie,Breaking In,0,2018-01-01,88,"Action,Thriller",5.5,16303,nm0574625,nm0121605,actor,"[""Eddie""]",Billy Burke,1966-01-01,,"actor,writer,producer","tt1486185,tt1502404,tt1099212,tt1325004",Breaking In,Action,James McTeigue
55972,200000000,tt3480822,/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,['US'],379751131,Released,['Marvel Studios'],['US'],71748,movie,Black Widow,0,2021-01-01,134,"Action,Adventure,Sci-Fi",6.7,391870,nm0795153,nm0001838,actress,"[""Melina""]",Rachel Weisz,1970-01-01,,"actress,producer,soundtrack","tt0120616,tt0387131,tt0414993,tt3464902",Black Widow,Action,Cate Shortland
55982,21000000,tt7846844,/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,['US'],0,Released,"['PCMA Productions', 'Legendary Pictures']","['US', 'US']",10236,movie,Enola Holmes,0,2020-01-01,123,"Action,Adventure,Crime",6.6,201765,nm0102873,nm0236279,writer,unknown,Arthur Conan Doyle,1859-01-01,1930-01-01,"writer,producer,actor","tt0163492,tt0086661,tt0988045,tt1475582",Enola Holmes,Action,Harry Bradbeer
